dataset,sequence,frame_idx,state,event_type,source_branch,source_iou,fusion_iou,margin,source_rank,fusion_rank,rgb_iou,tir_iou,rgb_rank,tir_rank,rgb_path,tir_path
RGBT234,womanrun,107,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.8896372479714668,0.029355338386335868,0.860281909585131,15,17,0.15330492595352213,0.8896372479714668,15,15,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womanrun/visible/00110v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womanrun/infrared/00108i.jpg
RGBT234,womanrun,109,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.9118589230256541,0.06050813612380879,0.8513507869018453,3,17,0.10250616717535206,0.9118589230256541,10,3,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womanrun/visible/00112v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womanrun/infrared/00110i.jpg
RGBT234,woman100,320,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.8493093274488618,0.0,0.8493093274488618,6,1,0.0,0.8493093274488618,1,6,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman100/visible/00506v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman100/infrared/00504i.jpg
RGBT234,woman100,316,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.8446934675030944,0.0,0.8446934675030944,11,1,0.0,0.8446934675030944,1,11,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman100/visible/00502v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman100/infrared/00500i.jpg
RGBT234,walkingtogetherright,588,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.8358182103179804,0.0,0.8358182103179804,2,1,0.0,0.8358182103179804,1,2,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingtogetherright/visible/00634v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingtogetherright/infrared/00631i.jpg
RGBT234,woman100,326,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.8321152763725702,0.0,0.8321152763725702,10,1,0.0,0.8321152763725702,1,10,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman100/visible/00512v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman100/infrared/00510i.jpg
RGBT234,woman100,324,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.8313061455683451,0.0,0.8313061455683451,3,1,0.0,0.8313061455683451,1,3,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman100/visible/00510v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/woman100/infrared/00508i.jpg
RGBT234,whitesuv,519,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.8042899488925564,0.0,0.8042899488925564,12,1,0.8042899488925564,0.052177460713805024,12,20,/root/autodl-tmp/RGBT234_unrar/RGB-T234/whitesuv/visible/00634v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/whitesuv/infrared/00632i.jpg
RGBT234,walkingtogetherright,571,tir_only,fusion_miss_with_tir_evidence;severe_omission;margin_omission,tir,0.80042653144485,0.0,0.80042653144485,3,1,0.0,0.80042653144485,1,3,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingtogetherright/visible/00617v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/walkingtogetherright/infrared/00614i.jpg
RGBT234,womaninblackwithbike,532,rgb_only,fusion_miss_with_rgb_evidence;severe_omission;margin_omission,rgb,0.9103468177896019,0.11124844044778182,0.7990983773418201,15,17,0.9103468177896019,0.14013252157108513,15,15,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womaninblackwithbike/visible/00536v.jpg,/root/autodl-tmp/RGBT234_unrar/RGB-T234/womaninblackwithbike/infrared/00533i.jpg
